Fecha,Hora,Turno,Boquilla,Peso (g),Temperatura del fluido (°C),Presión de llenado (bar),Etapa
2024-08-01,06:40,mañana,1,8.069,17.0,6.0,Mermelada
2024-08-01,06:40,mañana,2,8.1347,17.0,6.0,Mermelada
2024-08-01,06:40,mañana,3,7.221,17.0,6.0,Mermelada
2024-08-01,06:40,mañana,4,7.1301,17.0,6.0,Mermelada
2024-08-01,06:40,mañana,5,8.1864,17.0,6.0,Mermelada
2024-08-01,06:40,mañana,6,7.347,17.0,6.0,Mermelada
2024-08-01,06:40,mañana,7,6.4795,17.0,6.0,Mermelada
2024-08-01,06:40,mañana,8,6.5934,17.0,6.0,Mermelada
2024-08-01,06:40,mañana,9,6.7644,17.0,6.0,Mermelada
2024-08-01,06:40,mañana,10,7.8977,17.0,6.0,Mermelada
2024-08-01,06:40,mañana,11,7.6139,17.0,6.0,Mermelada
2024-08-01,06:40,mañana,12,8.0524,17.0,6.0,Mermelada
2024-08-01,06:40,mañana,13,7.1582,17.0,6.0,Mermelada
2024-08-01,06:40,mañana,14,7.4743,17.0,6.0,Mermelada
2024-08-01,06:40,mañana,15,7.6004,17.0,6.0,Mermelada
2024-08-01,06:40,mañana,16,6.7448,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,1,7.8654,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,2,6.9705,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,3,7.2096,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,4,7.1946,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,5,6.5433,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,6,7.8896,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,7,7.1245,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,8,7.51,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,9,7.8846,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,10,7.8572,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,11,8.0323,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,12,7.4212,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,13,7.1614,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,14,7.2875,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,15,5.8426,17.0,6.0,Mermelada
2024-08-01,06:50,mañana,16,5.8983,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,1,6.4418,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,2,6.7022,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,3,7.8198,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,4,6.7756,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,5,7.1975,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,6,8.5394,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,7,7.215,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,8,8.09,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,9,6.7531,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,10,7.3356,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,11,6.74,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,12,7.2288,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,13,8.1722,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,14,5.9958,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,15,7.4552,17.0,6.0,Mermelada
2024-08-01,07:00,mañana,16,7.1519,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,1,7.0247,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,2,6.3432,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,3,7.5577,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,4,7.0764,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,5,7.6861,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,6,7.5175,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,7,8.7814,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,8,7.3085,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,9,6.6812,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,10,7.6434,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,11,7.676,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,12,8.5874,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,13,8.1681,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,14,7.6298,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,15,8.2371,17.0,6.0,Mermelada
2024-08-01,07:10,mañana,16,6.0906,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,1,6.9882,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,2,6.7587,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,3,7.1882,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,4,6.3987,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,5,8.0081,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,6,7.3222,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,7,6.3234,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,8,6.6875,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,9,7.7508,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,10,8.1705,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,11,9.0,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,12,9.0,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,13,7.8315,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,14,6.5742,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,15,5.5046,17.0,6.0,Mermelada
2024-08-01,07:20,mañana,16,7.1742,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,1,6.8496,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,2,7.1677,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,3,7.0103,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,4,7.3874,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,5,8.3528,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,6,7.6256,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,7,7.3731,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,8,6.6715,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,9,6.1603,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,10,7.111,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,11,7.457,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,12,8.9143,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,13,7.6042,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,14,8.1205,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,15,6.7455,17.0,6.0,Mermelada
2024-08-01,07:30,mañana,16,6.0934,17.0,6.0,Mermelada
2024-08-01,14:00,tarde,1,7.8529,18.79,6.0,Mermelada
2024-08-01,14:00,tarde,2,8.0448,18.79,6.0,Mermelada
2024-08-01,14:00,tarde,3,9.0,18.79,6.0,Mermelada
2024-08-01,14:00,tarde,4,7.9679,18.79,6.0,Mermelada
2024-08-01,14:00,tarde,5,9.0,18.79,6.0,Mermelada
2024-08-01,14:00,tarde,6,7.9027,18.79,6.0,Mermelada
2024-08-01,14:00,tarde,7,9.0,18.79,6.0,Mermelada
2024-08-01,14:00,tarde,8,8.933,18.79,6.0,Mermelada
2024-08-01,14:00,tarde,9,8.4997,18.79,6.0,Mermelada
2024-08-01,14:00,tarde,10,8.5924,18.79,6.0,Mermelada
2024-08-01,14:00,tarde,11,8.1012,18.79,6.0,Mermelada
2024-08-01,14:00,tarde,12,8.9819,18.79,6.0,Mermelada
2024-08-01,14:00,tarde,13,8.261,18.79,6.0,Mermelada
2024-08-01,14:00,tarde,14,7.4916,18.79,6.0,Mermelada
2024-08-01,14:00,tarde,15,7.2225,18.79,6.0,Mermelada
2024-08-01,14:00,tarde,16,8.1497,18.79,6.0,Mermelada
2024-08-01,14:10,tarde,1,9.0,19.39,6.0,Mermelada
2024-08-01,14:10,tarde,2,8.753,19.39,6.0,Mermelada
2024-08-01,14:10,tarde,3,8.5301,19.39,6.0,Mermelada
2024-08-01,14:10,tarde,4,8.8537,19.39,6.0,Mermelada
2024-08-01,14:10,tarde,5,9.0,19.39,6.0,Mermelada
2024-08-01,14:10,tarde,6,8.8005,19.39,6.0,Mermelada
2024-08-01,14:10,tarde,7,8.2963,19.39,6.0,Mermelada
2024-08-01,14:10,tarde,8,9.0,19.39,6.0,Mermelada
2024-08-01,14:10,tarde,9,8.968,19.39,6.0,Mermelada
2024-08-01,14:10,tarde,10,9.0,19.39,6.0,Mermelada
2024-08-01,14:10,tarde,11,8.7716,19.39,6.0,Mermelada
2024-08-01,14:10,tarde,12,7.6454,19.39,6.0,Mermelada
2024-08-01,14:10,tarde,13,7.5305,19.39,6.0,Mermelada
2024-08-01,14:10,tarde,14,8.82,19.39,6.0,Mermelada
2024-08-01,14:10,tarde,15,8.55,19.39,6.0,Mermelada
2024-08-01,14:10,tarde,16,7.8877,19.39,6.0,Mermelada
2024-08-01,14:20,tarde,1,8.3185,18.79,6.0,Mermelada
2024-08-01,14:20,tarde,2,9.0,18.79,6.0,Mermelada
2024-08-01,14:20,tarde,3,7.7394,18.79,6.0,Mermelada
2024-08-01,14:20,tarde,4,7.9092,18.79,6.0,Mermelada
2024-08-01,14:20,tarde,5,9.0,18.79,6.0,Mermelada
2024-08-01,14:20,tarde,6,8.3093,18.79,6.0,Mermelada
2024-08-01,14:20,tarde,7,8.6209,18.79,6.0,Mermelada
2024-08-01,14:20,tarde,8,8.4942,18.79,6.0,Mermelada
2024-08-01,14:20,tarde,9,8.8951,18.79,6.0,Mermelada
2024-08-01,14:20,tarde,10,9.0,18.79,6.0,Mermelada
2024-08-01,14:20,tarde,11,8.6975,18.79,6.0,Mermelada
2024-08-01,14:20,tarde,12,9.0,18.79,6.0,Mermelada
2024-08-01,14:20,tarde,13,6.9849,18.79,6.0,Mermelada
2024-08-01,14:20,tarde,14,8.4143,18.79,6.0,Mermelada
2024-08-01,14:20,tarde,15,7.5529,18.79,6.0,Mermelada
2024-08-01,14:20,tarde,16,7.1145,18.79,6.0,Mermelada
2024-08-01,14:30,tarde,1,7.9225,18.97,6.0,Mermelada
2024-08-01,14:30,tarde,2,8.3577,18.97,6.0,Mermelada
2024-08-01,14:30,tarde,3,9.0,18.97,6.0,Mermelada
2024-08-01,14:30,tarde,4,7.5639,18.97,6.0,Mermelada
2024-08-01,14:30,tarde,5,8.6495,18.97,6.0,Mermelada
2024-08-01,14:30,tarde,6,8.2377,18.97,6.0,Mermelada
2024-08-01,14:30,tarde,7,8.3629,18.97,6.0,Mermelada
2024-08-01,14:30,tarde,8,9.0,18.97,6.0,Mermelada
2024-08-01,14:30,tarde,9,9.0,18.97,6.0,Mermelada
2024-08-01,14:30,tarde,10,9.0,18.97,6.0,Mermelada
2024-08-01,14:30,tarde,11,8.5014,18.97,6.0,Mermelada
2024-08-01,14:30,tarde,12,8.0682,18.97,6.0,Mermelada
2024-08-01,14:30,tarde,13,8.4459,18.97,6.0,Mermelada
2024-08-01,14:30,tarde,14,8.6426,18.97,6.0,Mermelada
2024-08-01,14:30,tarde,15,8.3279,18.97,6.0,Mermelada
2024-08-01,14:30,tarde,16,7.2145,18.97,6.0,Mermelada
2024-08-01,14:40,tarde,1,8.6974,18.61,6.0,Mermelada
2024-08-01,14:40,tarde,2,8.8076,18.61,6.0,Mermelada
2024-08-01,14:40,tarde,3,9.0,18.61,6.0,Mermelada
2024-08-01,14:40,tarde,4,9.0,18.61,6.0,Mermelada
2024-08-01,14:40,tarde,5,7.9424,18.61,6.0,Mermelada
2024-08-01,14:40,tarde,6,8.3951,18.61,6.0,Mermelada
2024-08-01,14:40,tarde,7,7.4542,18.61,6.0,Mermelada
2024-08-01,14:40,tarde,8,8.1524,18.61,6.0,Mermelada
2024-08-01,14:40,tarde,9,8.8775,18.61,6.0,Mermelada
2024-08-01,14:40,tarde,10,9.0,18.61,6.0,Mermelada
2024-08-01,14:40,tarde,11,8.0417,18.61,6.0,Mermelada
2024-08-01,14:40,tarde,12,8.1017,18.61,6.0,Mermelada
2024-08-01,14:40,tarde,13,6.9072,18.61,6.0,Mermelada
2024-08-01,14:40,tarde,14,8.325,18.61,6.0,Mermelada
2024-08-01,14:40,tarde,15,7.3863,18.61,6.0,Mermelada
2024-08-01,14:40,tarde,16,7.6273,18.61,6.0,Mermelada
2024-08-01,14:50,tarde,1,7.9235,18.58,6.0,Mermelada
2024-08-01,14:50,tarde,2,8.5496,18.58,6.0,Mermelada
2024-08-01,14:50,tarde,3,7.2188,18.58,6.0,Mermelada
2024-08-01,14:50,tarde,4,7.4514,18.58,6.0,Mermelada
2024-08-01,14:50,tarde,5,9.0,18.58,6.0,Mermelada
2024-08-01,14:50,tarde,6,7.5951,18.58,6.0,Mermelada
2024-08-01,14:50,tarde,7,7.7476,18.58,6.0,Mermelada
2024-08-01,14:50,tarde,8,9.0,18.58,6.0,Mermelada
2024-08-01,14:50,tarde,9,9.0,18.58,6.0,Mermelada
2024-08-01,14:50,tarde,10,7.6877,18.58,6.0,Mermelada
2024-08-01,14:50,tarde,11,8.3304,18.58,6.0,Mermelada
2024-08-01,14:50,tarde,12,8.8982,18.58,6.0,Mermelada
2024-08-01,14:50,tarde,13,9.0,18.58,6.0,Mermelada
2024-08-01,14:50,tarde,14,7.6788,18.58,6.0,Mermelada
2024-08-01,14:50,tarde,15,8.0073,18.58,6.0,Mermelada
2024-08-01,14:50,tarde,16,8.37,18.58,6.0,Mermelada
2024-08-01,15:00,tarde,1,8.9728,19.18,6.0,Mermelada
2024-08-01,15:00,tarde,2,8.3241,19.18,6.0,Mermelada
2024-08-01,15:00,tarde,3,8.5179,19.18,6.0,Mermelada
2024-08-01,15:00,tarde,4,7.5251,19.18,6.0,Mermelada
2024-08-01,15:00,tarde,5,8.4345,19.18,6.0,Mermelada
2024-08-01,15:00,tarde,6,8.4119,19.18,6.0,Mermelada
2024-08-01,15:00,tarde,7,8.8107,19.18,6.0,Mermelada
2024-08-01,15:00,tarde,8,8.1807,19.18,6.0,Mermelada
2024-08-01,15:00,tarde,9,9.0,19.18,6.0,Mermelada
2024-08-01,15:00,tarde,10,9.0,19.18,6.0,Mermelada
2024-08-01,15:00,tarde,11,8.7493,19.18,6.0,Mermelada
2024-08-01,15:00,tarde,12,8.9064,19.18,6.0,Mermelada
2024-08-01,15:00,tarde,13,8.6675,19.18,6.0,Mermelada
2024-08-01,15:00,tarde,14,8.4526,19.18,6.0,Mermelada
2024-08-01,15:00,tarde,15,7.6454,19.18,6.0,Mermelada
2024-08-01,15:00,tarde,16,8.2567,19.18,6.0,Mermelada
2024-08-01,15:10,tarde,1,8.5472,19.14,6.0,Mermelada
2024-08-01,15:10,tarde,2,9.0,19.14,6.0,Mermelada
2024-08-01,15:10,tarde,3,9.0,19.14,6.0,Mermelada
2024-08-01,15:10,tarde,4,8.9337,19.14,6.0,Mermelada
2024-08-01,15:10,tarde,5,8.0146,19.14,6.0,Mermelada
2024-08-01,15:10,tarde,6,7.7351,19.14,6.0,Mermelada
2024-08-01,15:10,tarde,7,9.0,19.14,6.0,Mermelada
2024-08-01,15:10,tarde,8,8.8352,19.14,6.0,Mermelada
2024-08-01,15:10,tarde,9,9.0,19.14,6.0,Mermelada
2024-08-01,15:10,tarde,10,7.2293,19.14,6.0,Mermelada
2024-08-01,15:10,tarde,11,9.0,19.14,6.0,Mermelada
2024-08-01,15:10,tarde,12,8.9885,19.14,6.0,Mermelada
2024-08-01,15:10,tarde,13,7.7367,19.14,6.0,Mermelada
2024-08-01,15:10,tarde,14,8.0828,19.14,6.0,Mermelada
2024-08-01,15:10,tarde,15,8.3942,19.14,6.0,Mermelada
2024-08-01,15:10,tarde,16,8.0603,19.14,6.0,Mermelada
2024-08-01,15:20,tarde,1,8.3913,18.75,6.0,Mermelada
2024-08-01,15:20,tarde,2,8.5422,18.75,6.0,Mermelada
2024-08-01,15:20,tarde,3,8.4234,18.75,6.0,Mermelada
2024-08-01,15:20,tarde,4,8.7471,18.75,6.0,Mermelada
2024-08-01,15:20,tarde,5,9.0,18.75,6.0,Mermelada
2024-08-01,15:20,tarde,6,6.5717,18.75,6.0,Mermelada
2024-08-01,15:20,tarde,7,8.4355,18.75,6.0,Mermelada
2024-08-01,15:20,tarde,8,8.7662,18.75,6.0,Mermelada
2024-08-01,15:20,tarde,9,8.8618,18.75,6.0,Mermelada
2024-08-01,15:20,tarde,10,8.3275,18.75,6.0,Mermelada
2024-08-01,15:20,tarde,11,7.2196,18.75,6.0,Mermelada
2024-08-01,15:20,tarde,12,8.8874,18.75,6.0,Mermelada
2024-08-01,15:20,tarde,13,9.0,18.75,6.0,Mermelada
2024-08-01,15:20,tarde,14,7.25,18.75,6.0,Mermelada
2024-08-01,15:20,tarde,15,8.55,18.75,6.0,Mermelada
2024-08-01,15:20,tarde,16,7.7768,18.75,6.0,Mermelada
2024-08-01,15:30,tarde,1,8.5759,19.38,6.0,Mermelada
2024-08-01,15:30,tarde,2,7.7827,19.38,6.0,Mermelada
2024-08-01,15:30,tarde,3,8.3574,19.38,6.0,Mermelada
2024-08-01,15:30,tarde,4,9.0,19.38,6.0,Mermelada
2024-08-01,15:30,tarde,5,9.0,19.38,6.0,Mermelada
2024-08-01,15:30,tarde,6,9.0,19.38,6.0,Mermelada
2024-08-01,15:30,tarde,7,9.0,19.38,6.0,Mermelada
2024-08-01,15:30,tarde,8,8.9763,19.38,6.0,Mermelada
2024-08-01,15:30,tarde,9,9.0,19.38,6.0,Mermelada
2024-08-01,15:30,tarde,10,8.9762,19.38,6.0,Mermelada
2024-08-01,15:30,tarde,11,9.0,19.38,6.0,Mermelada
2024-08-01,15:30,tarde,12,8.3877,19.38,6.0,Mermelada
2024-08-01,15:30,tarde,13,8.6782,19.38,6.0,Mermelada
2024-08-01,15:30,tarde,14,7.9057,19.38,6.0,Mermelada
2024-08-01,15:30,tarde,15,8.55,19.38,6.0,Mermelada
2024-08-01,15:30,tarde,16,7.1446,19.38,6.0,Mermelada
2024-08-01,22:00,noche,1,8.1259,17.0,6.0,Mermelada
2024-08-01,22:00,noche,2,7.3475,17.0,6.0,Mermelada
2024-08-01,22:00,noche,3,8.437,17.0,6.0,Mermelada
2024-08-01,22:00,noche,4,8.1007,17.0,6.0,Mermelada
2024-08-01,22:00,noche,5,8.9565,17.0,6.0,Mermelada
2024-08-01,22:00,noche,6,8.0846,17.0,6.0,Mermelada
2024-08-01,22:00,noche,7,6.2424,17.0,6.0,Mermelada
2024-08-01,22:00,noche,8,7.4464,17.0,6.0,Mermelada
2024-08-01,22:00,noche,9,6.5624,17.0,6.0,Mermelada
2024-08-01,22:00,noche,10,7.0854,17.0,6.0,Mermelada
2024-08-01,22:00,noche,11,8.709,17.0,6.0,Mermelada
2024-08-01,22:00,noche,12,8.01,17.0,6.0,Mermelada
2024-08-01,22:00,noche,13,6.9409,17.0,6.0,Mermelada
2024-08-01,22:00,noche,14,6.5552,17.0,6.0,Mermelada
2024-08-01,22:00,noche,15,7.1499,17.0,6.0,Mermelada
2024-08-01,22:00,noche,16,6.0699,17.0,6.0,Mermelada
2024-08-01,22:10,noche,1,6.9631,17.0,6.0,Mermelada
2024-08-01,22:10,noche,2,7.7496,17.0,6.0,Mermelada
2024-08-01,22:10,noche,3,8.4242,17.0,6.0,Mermelada
2024-08-01,22:10,noche,4,7.987,17.0,6.0,Mermelada
2024-08-01,22:10,noche,5,5.667,17.0,6.0,Mermelada
2024-08-01,22:10,noche,6,7.7435,17.0,6.0,Mermelada
2024-08-01,22:10,noche,7,7.5576,17.0,6.0,Mermelada
2024-08-01,22:10,noche,8,7.8311,17.0,6.0,Mermelada
2024-08-01,22:10,noche,9,8.793,17.0,6.0,Mermelada
2024-08-01,22:10,noche,10,5.8494,17.0,6.0,Mermelada
2024-08-01,22:10,noche,11,7.0271,17.0,6.0,Mermelada
2024-08-01,22:10,noche,12,7.9727,17.0,6.0,Mermelada
2024-08-01,22:10,noche,13,6.2347,17.0,6.0,Mermelada
2024-08-01,22:10,noche,14,8.5071,17.0,6.0,Mermelada
2024-08-01,22:10,noche,15,7.405,17.0,6.0,Mermelada
2024-08-01,22:10,noche,16,7.6049,17.0,6.0,Mermelada
2024-08-01,22:20,noche,1,7.0432,17.0,6.0,Mermelada
2024-08-01,22:20,noche,2,8.151,17.0,6.0,Mermelada
2024-08-01,22:20,noche,3,8.3548,17.0,6.0,Mermelada
2024-08-01,22:20,noche,4,7.6863,17.0,6.0,Mermelada
2024-08-01,22:20,noche,5,7.6875,17.0,6.0,Mermelada
2024-08-01,22:20,noche,6,7.7163,17.0,6.0,Mermelada
2024-08-01,22:20,noche,7,6.8093,17.0,6.0,Mermelada
2024-08-01,22:20,noche,8,7.382,17.0,6.0,Mermelada
2024-08-01,22:20,noche,9,7.378,17.0,6.0,Mermelada
2024-08-01,22:20,noche,10,7.8067,17.0,6.0,Mermelada
2024-08-01,22:20,noche,11,8.2999,17.0,6.0,Mermelada
2024-08-01,22:20,noche,12,6.6532,17.0,6.0,Mermelada
2024-08-01,22:20,noche,13,7.4,17.0,6.0,Mermelada
2024-08-01,22:20,noche,14,8.5115,17.0,6.0,Mermelada
2024-08-01,22:20,noche,15,6.5599,17.0,6.0,Mermelada
2024-08-01,22:20,noche,16,6.3632,17.0,6.0,Mermelada
2024-08-01,22:30,noche,1,7.6618,17.28,6.0,Mermelada
2024-08-01,22:30,noche,2,8.1755,17.28,6.0,Mermelada
2024-08-01,22:30,noche,3,7.5091,17.28,6.0,Mermelada
2024-08-01,22:30,noche,4,8.5632,17.28,6.0,Mermelada
2024-08-01,22:30,noche,5,8.1854,17.28,6.0,Mermelada
2024-08-01,22:30,noche,6,8.1735,17.28,6.0,Mermelada
2024-08-01,22:30,noche,7,7.9433,17.28,6.0,Mermelada
2024-08-01,22:30,noche,8,9.0,17.28,6.0,Mermelada
2024-08-01,22:30,noche,9,7.3359,17.28,6.0,Mermelada
2024-08-01,22:30,noche,10,5.8972,17.28,6.0,Mermelada
2024-08-01,22:30,noche,11,8.7834,17.28,6.0,Mermelada
2024-08-01,22:30,noche,12,7.1338,17.28,6.0,Mermelada
2024-08-01,22:30,noche,13,7.5863,17.28,6.0,Mermelada
2024-08-01,22:30,noche,14,8.3767,17.28,6.0,Mermelada
2024-08-01,22:30,noche,15,5.9073,17.28,6.0,Mermelada
2024-08-01,22:30,noche,16,6.0438,17.28,6.0,Mermelada
2024-08-01,22:40,noche,1,6.219,17.0,6.0,Mermelada
2024-08-01,22:40,noche,2,6.8647,17.0,6.0,Mermelada
2024-08-01,22:40,noche,3,7.8517,17.0,6.0,Mermelada
2024-08-01,22:40,noche,4,7.9194,17.0,6.0,Mermelada
2024-08-01,22:40,noche,5,7.721,17.0,6.0,Mermelada
2024-08-01,22:40,noche,6,6.3698,17.0,6.0,Mermelada
