Fecha,Hora,Turno,Boquilla,Peso (g),Temperatura del fluido (°C),Presión de llenado (bar)
2024-08-01,06:30,mañana,11,7.2805,17.0,5.5
2024-08-01,06:30,mañana,12,8.381,17.0,5.5
2024-08-01,06:30,mañana,13,6.7903,17.0,5.5
2024-08-01,06:30,mañana,14,7.4471,17.0,5.5
2024-08-01,06:30,mañana,15,7.5028,17.0,5.5
2024-08-01,06:30,mañana,16,7.5811,17.0,5.5
2024-08-01,06:40,mañana,1,8.2267,17.0,5.5
2024-08-01,06:40,mañana,2,8.276,17.0,5.5
2024-08-01,06:40,mañana,3,7.5908,17.0,5.5
2024-08-01,06:40,mañana,4,7.5226,17.0,5.5
2024-08-01,06:40,mañana,5,8.3148,17.0,5.5
2024-08-01,06:40,mañana,6,7.6852,17.0,5.5
2024-08-01,06:40,mañana,7,7.0346,17.0,5.5
2024-08-01,06:40,mañana,8,7.12,17.0,5.5
2024-08-01,06:40,mañana,9,7.2483,17.0,5.5
2024-08-01,06:40,mañana,10,8.0983,17.0,5.5
2024-08-01,06:40,mañana,11,7.8855,17.0,5.5
2024-08-01,06:40,mañana,12,8.2143,17.0,5.5
2024-08-01,06:40,mañana,13,7.5436,17.0,5.5
2024-08-01,06:40,mañana,14,7.7372,17.0,5.5
2024-08-01,06:40,mañana,15,7.7666,17.0,5.5
2024-08-01,06:40,mañana,16,7.0814,17.0,5.5
2024-08-01,06:50,mañana,1,8.0741,17.0,5.5
2024-08-01,06:50,mañana,2,7.4028,17.0,5.5
2024-08-01,06:50,mañana,3,7.5822,17.0,5.5
2024-08-01,06:50,mañana,4,7.571,17.0,5.5
2024-08-01,06:50,mañana,5,7.0825,17.0,5.5
2024-08-01,06:50,mañana,6,8.0922,17.0,5.5
2024-08-01,06:50,mañana,7,7.5184,17.0,5.5
2024-08-01,06:50,mañana,8,7.8075,17.0,5.5
2024-08-01,06:50,mañana,9,8.0884,17.0,5.5
2024-08-01,06:50,mañana,10,8.0679,17.0,5.5
2024-08-01,06:50,mañana,11,8.1992,17.0,5.5
2024-08-01,06:50,mañana,12,7.7409,17.0,5.5
2024-08-01,06:50,mañana,13,7.546,17.0,5.5
2024-08-01,06:50,mañana,14,7.5971,17.0,5.5
2024-08-01,06:50,mañana,15,6.4482,17.0,5.5
2024-08-01,06:50,mañana,16,6.4465,17.0,5.5
2024-08-01,07:00,mañana,1,7.0064,17.0,5.5
2024-08-01,07:00,mañana,2,7.2017,17.0,5.5
2024-08-01,07:00,mañana,3,8.0399,17.0,5.5
2024-08-01,07:00,mañana,4,7.2567,17.0,5.5
2024-08-01,07:00,mañana,5,7.5731,17.0,5.5
2024-08-01,07:00,mañana,6,8.5795,17.0,5.5
2024-08-01,07:00,mañana,7,7.5862,17.0,5.5
2024-08-01,07:00,mañana,8,8.2425,17.0,5.5
2024-08-01,07:00,mañana,9,7.2398,17.0,5.5
2024-08-01,07:00,mañana,10,7.6767,17.0,5.5
2024-08-01,07:00,mañana,11,7.23,17.0,5.5
2024-08-01,07:00,mañana,12,7.5966,17.0,5.5
2024-08-01,07:00,mañana,13,8.3042,17.0,5.5
2024-08-01,07:00,mañana,14,6.6283,17.0,5.5
2024-08-01,07:00,mañana,15,7.6576,17.0,5.5
2024-08-01,07:00,mañana,16,7.3867,17.0,5.5
2024-08-01,07:10,mañana,1,7.4435,17.0,5.5
2024-08-01,07:10,mañana,2,6.9324,17.0,5.5
2024-08-01,07:10,mañana,3,7.8433,17.0,5.5
2024-08-01,07:10,mañana,4,7.4823,17.0,5.5
2024-08-01,07:10,mañana,5,7.9396,17.0,5.5
2024-08-01,07:10,mañana,6,7.8131,17.0,5.5
2024-08-01,07:10,mañana,7,8.7611,17.0,5.5
2024-08-01,07:10,mañana,8,7.6564,17.0,5.5
2024-08-01,07:10,mañana,9,7.1859,17.0,5.5
2024-08-01,07:10,mañana,10,7.9076,17.0,5.5
2024-08-01,07:10,mañana,11,7.932,17.0,5.5
2024-08-01,07:10,mañana,12,8.6155,17.0,5.5
2024-08-01,07:10,mañana,13,8.3011,17.0,5.5
2024-08-01,07:10,mañana,14,7.8538,17.0,5.5
2024-08-01,07:10,mañana,15,8.2441,17.0,5.5
2024-08-01,07:10,mañana,16,6.5907,17.0,5.5
2024-08-01,07:20,mañana,1,7.4161,17.0,5.5
2024-08-01,07:20,mañana,2,7.2441,17.0,5.5
2024-08-01,07:20,mañana,3,7.5661,17.0,5.5
2024-08-01,07:20,mañana,4,6.974,17.0,5.5
2024-08-01,07:20,mañana,5,8.1811,17.0,5.5
2024-08-01,07:20,mañana,6,7.6667,17.0,5.5
2024-08-01,07:20,mañana,7,6.9175,17.0,5.5
2024-08-01,07:20,mañana,8,7.1907,17.0,5.5
2024-08-01,07:20,mañana,9,7.9881,17.0,5.5
2024-08-01,07:20,mañana,10,8.3029,17.0,5.5
2024-08-01,07:20,mañana,11,8.998,17.0,5.5
2024-08-01,07:20,mañana,12,9.5483,17.0,5.5
2024-08-01,07:20,mañana,13,8.0486,17.0,5.5
2024-08-01,07:20,mañana,14,7.0622,17.0,5.5
2024-08-01,07:20,mañana,15,6.1947,17.0,5.5
2024-08-01,07:20,mañana,16,7.4034,17.0,5.5
2024-08-01,07:30,mañana,1,7.3122,17.0,5.5
2024-08-01,07:30,mañana,2,7.5508,17.0,5.5
2024-08-01,07:30,mañana,3,7.4327,17.0,5.5
2024-08-01,07:30,mañana,4,7.7155,17.0,5.5
2024-08-01,07:30,mañana,5,8.4396,17.0,5.5
2024-08-01,07:30,mañana,6,7.8942,17.0,5.5
2024-08-01,07:30,mañana,7,7.7048,17.0,5.5
2024-08-01,07:30,mañana,8,7.1786,17.0,5.5
2024-08-01,07:30,mañana,9,6.7952,17.0,5.5
2024-08-01,07:30,mañana,10,7.5082,17.0,5.5
2024-08-01,07:30,mañana,11,7.7677,17.0,5.5
2024-08-01,07:30,mañana,12,8.8608,17.0,5.5
2024-08-01,07:30,mañana,13,7.8782,17.0,5.5
2024-08-01,07:30,mañana,14,8.2219,17.0,5.5
2024-08-01,07:30,mañana,15,7.1254,17.0,5.5
2024-08-01,07:30,mañana,16,6.5928,17.0,5.5
2024-08-01,14:00,tarde,1,8.3909,19.22,5.5
2024-08-01,14:00,tarde,2,8.5349,19.22,5.5
2024-08-01,14:00,tarde,3,10.2471,19.22,5.5
2024-08-01,14:00,tarde,4,8.4772,19.22,5.5
2024-08-01,14:00,tarde,5,9.4731,19.22,5.5
2024-08-01,14:00,tarde,6,8.4282,19.22,5.5
2024-08-01,14:00,tarde,7,9.5289,19.22,5.5
2024-08-01,14:00,tarde,8,9.201,19.22,5.5
2024-08-01,14:00,tarde,9,8.876,19.22,5.5
2024-08-01,14:00,tarde,10,8.9455,19.22,5.5
2024-08-01,14:00,tarde,11,8.5771,19.22,5.5
2024-08-01,14:00,tarde,12,9.2376,19.22,5.5
2024-08-01,14:00,tarde,13,8.697,19.22,5.5
2024-08-01,14:00,tarde,14,8.0699,19.22,5.5
2024-08-01,14:00,tarde,15,7.7931,19.22,5.5
2024-08-01,14:00,tarde,16,8.4384,19.22,5.5
2024-08-01,14:10,tarde,1,9.9175,19.96,5.5
2024-08-01,14:10,tarde,2,9.066,19.96,5.5
2024-08-01,14:10,tarde,3,8.8988,19.96,5.5
2024-08-01,14:10,tarde,4,9.1415,19.96,5.5
2024-08-01,14:10,tarde,5,9.7536,19.96,5.5
2024-08-01,14:10,tarde,6,9.1016,19.96,5.5
2024-08-01,14:10,tarde,7,8.7234,19.96,5.5
2024-08-01,14:10,tarde,8,9.6338,19.96,5.5
2024-08-01,14:10,tarde,9,9.2273,19.96,5.5
2024-08-01,14:10,tarde,10,9.8915,19.96,5.5
2024-08-01,14:10,tarde,11,9.0799,19.96,5.5
2024-08-01,14:10,tarde,12,8.2353,19.96,5.5
2024-08-01,14:10,tarde,13,8.1491,19.96,5.5
2024-08-01,14:10,tarde,14,9.7613,19.96,5.5
2024-08-01,14:10,tarde,15,9.504,19.96,5.5
2024-08-01,14:10,tarde,16,8.2419,19.96,5.5
2024-08-01,14:20,tarde,1,8.7401,19.2,5.5
2024-08-01,14:20,tarde,2,9.8469,19.2,5.5
2024-08-01,14:20,tarde,3,8.3058,19.2,5.5
2024-08-01,14:20,tarde,4,8.4332,19.2,5.5
2024-08-01,14:20,tarde,5,9.356,19.2,5.5
2024-08-01,14:20,tarde,6,8.7332,19.2,5.5
2024-08-01,14:20,tarde,7,8.9669,19.2,5.5
2024-08-01,14:20,tarde,8,8.8719,19.2,5.5
2024-08-01,14:20,tarde,9,9.1725,19.2,5.5
2024-08-01,14:20,tarde,10,9.8145,19.2,5.5
2024-08-01,14:20,tarde,11,9.0244,19.2,5.5
2024-08-01,14:20,tarde,12,9.3564,19.2,5.5
2024-08-01,14:20,tarde,13,7.7399,19.2,5.5
2024-08-01,14:20,tarde,14,8.762,19.2,5.5
2024-08-01,14:20,tarde,15,8.0409,19.2,5.5
2024-08-01,14:20,tarde,16,7.662,19.2,5.5
2024-08-01,14:30,tarde,1,8.4431,19.3,5.5
2024-08-01,14:30,tarde,2,8.7695,19.3,5.5
2024-08-01,14:30,tarde,3,9.5195,19.3,5.5
2024-08-01,14:30,tarde,4,8.1742,19.3,5.5
2024-08-01,14:30,tarde,5,8.9884,19.3,5.5
2024-08-01,14:30,tarde,6,8.6795,19.3,5.5
2024-08-01,14:30,tarde,7,8.7734,19.3,5.5
2024-08-01,14:30,tarde,8,9.5717,19.3,5.5
2024-08-01,14:30,tarde,9,9.2929,19.3,5.5
2024-08-01,14:30,tarde,10,9.7724,19.3,5.5
2024-08-01,14:30,tarde,11,8.8773,19.3,5.5
2024-08-01,14:30,tarde,12,8.5524,19.3,5.5
2024-08-01,14:30,tarde,13,8.8357,19.3,5.5
2024-08-01,14:30,tarde,14,8.9332,19.3,5.5
2024-08-01,14:30,tarde,15,8.6221,19.3,5.5
2024-08-01,14:30,tarde,16,7.737,19.3,5.5
2024-08-01,14:40,tarde,1,9.0243,19.22,5.5
2024-08-01,14:40,tarde,2,9.1069,19.22,5.5
2024-08-01,14:40,tarde,3,10.4805,19.22,5.5
2024-08-01,14:40,tarde,4,10.0961,19.22,5.5
2024-08-01,14:40,tarde,5,8.4581,19.22,5.5
2024-08-01,14:40,tarde,6,8.7976,19.22,5.5
2024-08-01,14:40,tarde,7,8.0919,19.22,5.5
2024-08-01,14:40,tarde,8,8.6156,19.22,5.5
2024-08-01,14:40,tarde,9,9.1594,19.22,5.5
2024-08-01,14:40,tarde,10,9.6935,19.22,5.5
2024-08-01,14:40,tarde,11,8.5325,19.22,5.5
2024-08-01,14:40,tarde,12,8.5775,19.22,5.5
2024-08-01,14:40,tarde,13,7.6816,19.22,5.5
2024-08-01,14:40,tarde,14,8.695,19.22,5.5
2024-08-01,14:40,tarde,15,7.9159,19.22,5.5
2024-08-01,14:40,tarde,16,8.0467,19.22,5.5
2024-08-01,14:50,tarde,1,8.4439,19.43,5.5
2024-08-01,14:50,tarde,2,8.9134,19.43,5.5
2024-08-01,14:50,tarde,3,7.9154,19.43,5.5
2024-08-01,14:50,tarde,4,8.0898,19.43,5.5
2024-08-01,14:50,tarde,5,10.2475,19.43,5.5
2024-08-01,14:50,tarde,6,8.1975,19.43,5.5
2024-08-01,14:50,tarde,7,8.3119,19.43,5.5
2024-08-01,14:50,tarde,8,10.0721,19.43,5.5
2024-08-01,14:50,tarde,9,10.713,19.43,5.5
2024-08-01,14:50,tarde,10,8.2671,19.43,5.5
2024-08-01,14:50,tarde,11,8.7491,19.43,5.5
2024-08-01,14:50,tarde,12,9.1749,19.43,5.5
2024-08-01,14:50,tarde,13,10.0072,19.43,5.5
2024-08-01,14:50,tarde,14,8.2103,19.43,5.5
2024-08-01,14:50,tarde,15,8.3817,19.43,5.5
2024-08-01,14:50,tarde,16,8.7759,19.43,5.5
2024-08-01,15:00,tarde,1,9.2309,19.35,5.5
2024-08-01,15:00,tarde,2,8.7443,19.35,5.5
2024-08-01,15:00,tarde,3,8.8897,19.35,5.5
2024-08-01,15:00,tarde,4,8.1451,19.35,5.5
2024-08-01,15:00,tarde,5,8.8271,19.35,5.5
2024-08-01,15:00,tarde,6,8.8102,19.35,5.5
2024-08-01,15:00,tarde,7,9.1093,19.35,5.5
2024-08-01,15:00,tarde,8,8.6368,19.35,5.5
2024-08-01,15:00,tarde,9,9.2529,19.35,5.5
2024-08-01,15:00,tarde,10,9.5776,19.35,5.5
2024-08-01,15:00,tarde,11,9.0633,19.35,5.5
2024-08-01,15:00,tarde,12,9.1811,19.35,5.5
2024-08-01,15:00,tarde,13,9.0019,19.35,5.5
2024-08-01,15:00,tarde,14,8.7906,19.35,5.5
2024-08-01,15:00,tarde,15,8.1102,19.35,5.5
2024-08-01,15:00,tarde,16,8.5187,19.35,5.5
2024-08-01,15:10,tarde,1,8.9116,19.6,5.5
2024-08-01,15:10,tarde,2,10.2259,19.6,5.5
2024-08-01,15:10,tarde,3,9.914,19.6,5.5
2024-08-01,15:10,tarde,4,9.2015,19.6,5.5
2024-08-01,15:10,tarde,5,8.5122,19.6,5.5
2024-08-01,15:10,tarde,6,8.3026,19.6,5.5
2024-08-01,15:10,tarde,7,9.6847,19.6,5.5
2024-08-01,15:10,tarde,8,9.1276,19.6,5.5
2024-08-01,15:10,tarde,9,9.2581,19.6,5.5
2024-08-01,15:10,tarde,10,7.9232,19.6,5.5
2024-08-01,15:10,tarde,11,9.5265,19.6,5.5
2024-08-01,15:10,tarde,12,9.2427,19.6,5.5
2024-08-01,15:10,tarde,13,8.3037,19.6,5.5
2024-08-01,15:10,tarde,14,8.5133,19.6,5.5
2024-08-01,15:10,tarde,15,8.6718,19.6,5.5
2024-08-01,15:10,tarde,16,8.3714,19.6,5.5
2024-08-01,15:20,tarde,1,8.7947,19.2,5.5
2024-08-01,15:20,tarde,2,8.9079,19.2,5.5
2024-08-01,15:20,tarde,3,8.8188,19.2,5.5
2024-08-01,15:20,tarde,4,9.0615,19.2,5.5
2024-08-01,15:20,tarde,5,9.8529,19.2,5.5
2024-08-01,15:20,tarde,6,7.43,19.2,5.5
2024-08-01,15:20,tarde,7,8.8279,19.2,5.5
2024-08-01,15:20,tarde,8,9.0759,19.2,5.5
2024-08-01,15:20,tarde,9,9.1476,19.2,5.5
2024-08-01,15:20,tarde,10,8.7469,19.2,5.5
2024-08-01,15:20,tarde,11,7.916,19.2,5.5
2024-08-01,15:20,tarde,12,9.1668,19.2,5.5
2024-08-01,15:20,tarde,13,10.0064,19.2,5.5
2024-08-01,15:20,tarde,14,7.8887,19.2,5.5
2024-08-01,15:20,tarde,15,9.0139,19.2,5.5
2024-08-01,15:20,tarde,16,8.1588,19.2,5.5
2024-08-01,15:30,tarde,1,8.9332,19.87,5.5
2024-08-01,15:30,tarde,2,8.3383,19.87,5.5
2024-08-01,15:30,tarde,3,8.7693,19.87,5.5
2024-08-01,15:30,tarde,4,9.75,19.87,5.5
2024-08-01,15:30,tarde,5,9.3196,19.87,5.5
2024-08-01,15:30,tarde,6,10.0094,19.87,5.5
2024-08-01,15:30,tarde,7,9.6764,19.87,5.5
2024-08-01,15:30,tarde,8,9.2335,19.87,5.5
2024-08-01,15:30,tarde,9,10.0164,19.87,5.5
2024-08-01,15:30,tarde,10,9.2334,19.87,5.5
2024-08-01,15:30,tarde,11,9.4668,19.87,5.5
2024-08-01,15:30,tarde,12,8.7921,19.87,5.5
2024-08-01,15:30,tarde,13,9.0099,19.87,5.5
2024-08-01,15:30,tarde,14,8.3805,19.87,5.5
2024-08-01,15:30,tarde,15,9.0856,19.87,5.5
2024-08-01,15:30,tarde,16,7.6846,19.87,5.5
2024-08-01,22:00,noche,1,8.2694,17.0,5.5
2024-08-01,22:00,noche,2,7.6856,17.0,5.5
2024-08-01,22:00,noche,3,8.5027,17.0,5.5
2024-08-01,22:00,noche,4,8.2505,17.0,5.5
2024-08-01,22:00,noche,5,8.8924,17.0,5.5
2024-08-01,22:00,noche,6,8.2385,17.0,5.5
2024-08-01,22:00,noche,7,6.8568,17.0,5.5
2024-08-01,22:00,noche,8,7.7598,17.0,5.5
2024-08-01,22:00,noche,9,7.0968,17.0,5.5
2024-08-01,22:00,noche,10,7.489,17.0,5.5
2024-08-01,22:00,noche,11,8.7067,17.0,5.5
2024-08-01,22:00,noche,12,8.1825,17.0,5.5
2024-08-01,22:00,noche,13,7.3806,17.0,5.5
2024-08-01,22:00,noche,14,7.0479,17.0,5.5
2024-08-01,22:00,noche,15,7.4287,17.0,5.5
2024-08-01,22:00,noche,16,6.5752,17.0,5.5
2024-08-01,22:10,noche,1,7.3973,17.0,5.5
2024-08-01,22:10,noche,2,7.9872,17.0,5.5
2024-08-01,22:10,noche,3,8.4932,17.0,5.5
2024-08-01,22:10,noche,4,8.1653,17.0,5.5
2024-08-01,22:10,noche,5,6.4252,17.0,5.5
2024-08-01,22:10,noche,6,7.9826,17.0,5.5
2024-08-01,22:10,noche,7,7.8432,17.0,5.5
2024-08-01,22:10,noche,8,8.0483,17.0,5.5
2024-08-01,22:10,noche,9,8.7697,17.0,5.5
2024-08-01,22:10,noche,10,6.5621,17.0,5.5
2024-08-01,22:10,noche,11,7.4453,17.0,5.5
2024-08-01,22:10,noche,12,8.1545,17.0,5.5
2024-08-01,22:10,noche,13,6.851,17.0,5.5
2024-08-01,22:10,noche,14,8.5119,17.0,5.5
2024-08-01,22:10,noche,15,7.62,17.0,5.5
2024-08-01,22:10,noche,16,7.7264,17.0,5.5
2024-08-01,22:20,noche,1,7.4574,17.0,5.5
2024-08-01,22:20,noche,2,8.2883,17.0,5.5
2024-08-01,22:20,noche,3,8.4411,17.0,5.5
2024-08-01,22:20,noche,4,7.9397,17.0,5.5
2024-08-01,22:20,noche,5,7.9406,17.0,5.5
2024-08-01,22:20,noche,6,7.9622,17.0,5.5
2024-08-01,22:20,noche,7,7.282,17.0,5.5
2024-08-01,22:20,noche,8,7.7115,17.0,5.5
2024-08-01,22:20,noche,9,7.7085,17.0,5.5
2024-08-01,22:20,noche,10,8.03,17.0,5.5
2024-08-01,22:20,noche,11,8.3999,17.0,5.5
2024-08-01,22:20,noche,12,7.1649,17.0,5.5
2024-08-01,22:20,noche,13,7.725,17.0,5.5
2024-08-01,22:20,noche,14,8.5151,17.0,5.5
2024-08-01,22:20,noche,15,6.9862,17.0,5.5
2024-08-01,22:20,noche,16,6.7952,17.0,5.5
2024-08-01,22:30,noche,1,7.9214,17.21,5.5
2024-08-01,22:30,noche,2,8.3066,17.21,5.5
2024-08-01,22:30,noche,3,7.8069,17.21,5.5
2024-08-01,22:30,noche,4,8.5974,17.21,5.5
2024-08-01,22:30,noche,5,8.3141,17.21,5.5
2024-08-01,22:30,noche,6,8.3051,17.21,5.5
2024-08-01,22:30,noche,7,8.1325,17.21,5.5
2024-08-01,22:30,noche,8,9.1966,17.21,5.5
2024-08-01,22:30,noche,9,7.6769,17.21,5.5
2024-08-01,22:30,noche,10,6.5979,17.21,5.5
2024-08-01,22:30,noche,11,8.7626,17.21,5.5
2024-08-01,22:30,noche,12,7.5254,17.21,5.5
2024-08-01,22:30,noche,13,7.8647,17.21,5.5
2024-08-01,22:30,noche,14,8.414,17.21,5.5
2024-08-01,22:30,noche,15,6.4967,17.21,5.5
2024-08-01,22:30,noche,16,6.5556,17.21,5.5
2024-08-01,22:40,noche,1,6.8392,17.0,5.5
2024-08-01,22:40,noche,2,7.3235,17.0,5.5
2024-08-01,22:40,noche,3,8.0638,17.0,5.5
2024-08-01,22:40,noche,4,8.1145,17.0,5.5
2024-08-01,22:40,noche,5,7.9658,17.0,5.5
2024-08-01,22:40,noche,6,6.9523,17.0,5.5
2024-08-01,22:40,noche,7,6.4139,17.0,5.5
2024-08-01,22:40,noche,8,7.8326,17.0,5.5
2024-08-01,22:40,noche,9,7.5169,17.0,5.5
2024-08-01,22:40,noche,10,8.0756,17.0,5.5
2024-08-01,22:40,noche,11,8.2212,17.0,5.5
2024-08-01,22:40,noche,12,7.8829,17.0,5.5
2024-08-01,22:40,noche,13,8.2561,17.0,5.5
2024-08-01,22:40,noche,14,7.7788,17.0,5.5
2024-08-01,22:40,noche,15,7.7121,17.0,5.5
2024-08-01,22:40,noche,16,6.8608,17.0,5.5
2024-08-01,22:50,noche,1,7.6922,17.0,5.5
2024-08-01,22:50,noche,2,7.9181,17.0,5.5
2024-08-01,22:50,noche,3,8.2923,17.0,5.5
2024-08-01,22:50,noche,4,7.5638,17.0,5.5
2024-08-01,22:50,noche,5,8.1127,17.0,5.5
2024-08-01,22:50,noche,6,7.6405,17.0,5.5
2024-08-01,22:50,noche,7,7.7295,17.0,5.5
2024-08-01,22:50,noche,8,8.2977,17.0,5.5
2024-08-01,22:50,noche,9,6.6042,17.0,5.5
2024-08-01,22:50,noche,10,7.0221,17.0,5.5
2024-08-01,22:50,noche,11,6.9107,17.0,5.5
2024-08-01,22:50,noche,12,6.3998,17.0,5.5
2024-08-01,22:50,noche,13,7.393,17.0,5.5
2024-08-01,22:50,noche,14,8.0847,17.0,5.5
2024-08-01,22:50,noche,15,7.2476,17.0,5.5
2024-08-01,22:50,noche,16,7.3644,17.0,5.5
2024-08-01,23:00,noche,1,8.4535,17.0,5.5
2024-08-01,23:00,noche,2,8.5966,17.0,5.5
2024-08-01,23:00,noche,3,7.7585,17.0,5.5
2024-08-01,23:00,noche,4,8.6122,17.0,5.5
2024-08-01,23:00,noche,5,7.8553,17.0,5.5
2024-08-01,23:00,noche,6,7.2976,17.0,5.5
2024-08-01,23:00,noche,7,7.4434,17.0,5.5
2024-08-01,23:00,noche,8,6.9117,17.0,5.5
2024-08-01,23:00,noche,9,7.2671,17.0,5.5
2024-08-01,23:00,noche,10,7.5852,17.0,5.5
2024-08-01,23:00,noche,11,8.2822,17.0,5.5
2024-08-01,23:00,noche,12,8.8325,17.0,5.5
2024-08-01,23:00,noche,13,6.9707,17.0,5.5
2024-08-01,23:00,noche,14,7.875,17.0,5.5
2024-08-01,23:00,noche,15,6.8169,17.0,5.5
2024-08-01,23:00,noche,16,7.5189,17.0,5.5
2024-08-01,23:10,noche,1,7.7213,17.0,5.5
2024-08-01,23:10,noche,2,6.7015,17.0,5.5
2024-08-01,23:10,noche,3,8.357,17.0,5.5
2024-08-01,23:10,noche,4,7.437,17.0,5.5
2024-08-01,23:10,noche,5,7.4797,17.0,5.5
2024-08-01,23:10,noche,6,7.1581,17.0,5.5
2024-08-01,23:10,noche,7,7.4074,17.0,5.5
2024-08-01,23:10,noche,8,8.0567,17.0,5.5
2024-08-01,23:10,noche,9,7.6865,17.0,5.5
2024-08-01,23:10,noche,10,7.9972,17.0,5.5
2024-08-01,23:10,noche,11,8.0172,17.0,5.5
2024-08-01,23:10,noche,12,8.5924,17.0,5.5
2024-08-01,23:10,noche,13,7.5943,17.0,5.5
2024-08-01,23:10,noche,14,6.7756,17.0,5.5
2024-08-01,23:10,noche,15,8.0183,17.0,5.5
2024-08-01,23:10,noche,16,7.069,17.0,5.5
2024-08-01,23:20,noche,1,8.4688,17.06,5.5
2024-08-01,23:20,noche,2,8.03,17.06,5.5
2024-08-01,23:20,noche,3,7.7213,17.06,5.5
2024-08-01,23:20,noche,4,8.0093,17.06,5.5
2024-08-01,23:20,noche,5,8.9706,17.06,5.5
2024-08-01,23:20,noche,6,9.0462,17.06,5.5
2024-08-01,23:20,noche,7,7.8416,17.06,5.5
2024-08-01,23:20,noche,8,7.8961,17.06,5.5
2024-08-01,23:20,noche,9,8.4457,17.06,5.5
2024-08-01,23:20,noche,10,7.2926,17.06,5.5
2024-08-01,23:20,noche,11,7.9998,17.06,5.5
2024-08-01,23:20,noche,12,7.7845,17.06,5.5
2024-08-01,23:20,noche,13,7.9883,17.06,5.5
2024-08-01,23:20,noche,14,7.154,17.06,5.5
2024-08-01,23:20,noche,15,6.5039,17.06,5.5
2024-08-01,23:20,noche,16,6.0973,17.06,5.5
2024-08-01,23:30,noche,1,7.1296,17.07,5.5
2024-08-01,23:30,noche,2,7.5248,17.07,5.5
2024-08-01,23:30,noche,3,7.6241,17.07,5.5
2024-08-01,23:30,noche,4,8.9623,17.07,5.5
2024-08-01,23:30,noche,5,8.4636,17.07,5.5
