Fecha,Hora,Turno,Boquilla,Peso (g),Temperatura del fluido (°C),Presión de llenado (bar),% de Reproceso,Etapa
2024-08-01,06:20,mañana,11,18.8406,17.1,4.0,0,Depositado
2024-08-01,06:20,mañana,12,19.3254,17.1,4.0,0,Depositado
2024-08-01,06:20,mañana,13,19.263,17.1,4.0,0,Depositado
2024-08-01,06:20,mañana,14,19.3181,17.1,4.0,0,Depositado
2024-08-01,06:20,mañana,15,19.6706,17.1,4.0,0,Depositado
2024-08-01,06:20,mañana,16,19.3207,17.1,4.0,0,Depositado
2024-08-01,06:30,mañana,1,19.5666,17.0,4.0,0,Depositado
2024-08-01,06:30,mañana,2,19.2365,17.0,4.0,0,Depositado
2024-08-01,06:30,mañana,3,19.3561,17.0,4.0,0,Depositado
2024-08-01,06:30,mañana,4,19.5409,17.0,4.0,0,Depositado
2024-08-01,06:30,mañana,5,18.4131,17.0,4.0,0,Depositado
2024-08-01,06:30,mañana,6,19.0274,17.0,4.0,0,Depositado
2024-08-01,06:30,mañana,7,18.946,17.0,4.0,0,Depositado
2024-08-01,06:30,mañana,8,18.855,17.0,4.0,0,Depositado
2024-08-01,06:30,mañana,9,19.0514,17.0,4.0,0,Depositado
2024-08-01,06:30,mañana,10,20.0073,17.0,4.0,0,Depositado
2024-08-01,06:30,mañana,11,18.7325,17.0,4.0,0,Depositado
2024-08-01,06:30,mañana,12,19.7229,17.0,4.0,0,Depositado
2024-08-01,06:30,mañana,13,18.2913,17.0,4.0,0,Depositado
2024-08-01,06:30,mañana,14,19.0192,17.0,4.0,0,Depositado
2024-08-01,06:30,mañana,15,19.2879,17.0,4.0,0,Depositado
2024-08-01,06:30,mañana,16,19.5166,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,1,19.5841,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,2,19.6284,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,3,19.0117,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,4,18.9503,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,5,19.6633,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,6,19.0967,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,7,18.5111,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,8,18.588,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,9,18.7035,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,10,19.4685,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,11,19.2769,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,12,19.5729,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,13,18.9693,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,14,19.2856,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,15,19.5378,17.0,4.0,0,Depositado
2024-08-01,06:40,mañana,16,19.033,17.0,4.0,0,Depositado
2024-08-01,06:50,mañana,1,19.4467,17.0,4.0,1,Depositado
2024-08-01,06:50,mañana,2,18.8426,17.0,4.0,1,Depositado
2024-08-01,06:50,mañana,3,19.004,17.0,4.0,1,Depositado
2024-08-01,06:50,mañana,4,18.9939,17.0,4.0,1,Depositado
2024-08-01,06:50,mañana,5,18.5542,17.0,4.0,1,Depositado
2024-08-01,06:50,mañana,6,19.463,17.0,4.0,1,Depositado
2024-08-01,06:50,mañana,7,18.9465,17.0,4.0,1,Depositado
2024-08-01,06:50,mañana,8,19.2067,17.0,4.0,1,Depositado
2024-08-01,06:50,mañana,9,19.4596,17.0,4.0,1,Depositado
2024-08-01,06:50,mañana,10,19.4411,17.0,4.0,1,Depositado
2024-08-01,06:50,mañana,11,19.5593,17.0,4.0,1,Depositado
2024-08-01,06:50,mañana,12,19.1468,17.0,4.0,1,Depositado
2024-08-01,06:50,mañana,13,18.9714,17.0,4.0,1,Depositado
2024-08-01,06:50,mañana,14,19.157,17.0,4.0,1,Depositado
2024-08-01,06:50,mañana,15,18.2888,17.0,4.0,1,Depositado
2024-08-01,06:50,mañana,16,18.4186,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,1,18.4857,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,2,18.6615,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,3,19.4159,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,4,18.711,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,5,18.9958,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,6,19.9016,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,7,19.0076,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,8,19.5983,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,9,18.6958,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,10,19.0891,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,11,18.687,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,12,19.0169,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,13,19.6538,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,14,18.2672,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,15,19.4346,17.0,4.0,1,Depositado
2024-08-01,07:00,mañana,16,19.3284,17.0,4.0,1,Depositado
2024-08-01,07:10,mañana,1,18.8792,17.08,4.0,0,Depositado
2024-08-01,07:10,mañana,2,18.4191,17.08,4.0,0,Depositado
2024-08-01,07:10,mañana,3,19.2389,17.08,4.0,0,Depositado
2024-08-01,07:10,mañana,4,18.9141,17.08,4.0,0,Depositado
2024-08-01,07:10,mañana,5,19.3256,17.08,4.0,0,Depositado
2024-08-01,07:10,mañana,6,19.2118,17.08,4.0,0,Depositado
2024-08-01,07:10,mañana,7,20.065,17.08,4.0,0,Depositado
2024-08-01,07:10,mañana,8,19.0707,17.08,4.0,0,Depositado
2024-08-01,07:10,mañana,9,18.6473,17.08,4.0,0,Depositado
2024-08-01,07:10,mañana,10,19.2968,17.08,4.0,0,Depositado
2024-08-01,07:10,mañana,11,19.3188,17.08,4.0,0,Depositado
2024-08-01,07:10,mañana,12,19.934,17.08,4.0,0,Depositado
2024-08-01,07:10,mañana,13,19.651,17.08,4.0,0,Depositado
2024-08-01,07:10,mañana,14,19.3927,17.08,4.0,0,Depositado
2024-08-01,07:10,mañana,15,19.9902,17.08,4.0,0,Depositado
2024-08-01,07:10,mañana,16,18.5581,17.08,4.0,0,Depositado
2024-08-01,07:20,mañana,1,18.8545,17.0,4.0,0,Depositado
2024-08-01,07:20,mañana,2,18.6996,17.0,4.0,0,Depositado
2024-08-01,07:20,mañana,3,18.9895,17.0,4.0,0,Depositado
2024-08-01,07:20,mañana,4,18.4566,17.0,4.0,0,Depositado
2024-08-01,07:20,mañana,5,19.543,17.0,4.0,0,Depositado
2024-08-01,07:20,mañana,6,19.08,17.0,4.0,0,Depositado
2024-08-01,07:20,mañana,7,18.4058,17.0,4.0,0,Depositado
2024-08-01,07:20,mañana,8,18.6516,17.0,4.0,0,Depositado
2024-08-01,07:20,mañana,9,19.3693,17.0,4.0,0,Depositado
2024-08-01,07:20,mañana,10,19.6526,17.0,4.0,0,Depositado
2024-08-01,07:20,mañana,11,20.2782,17.0,4.0,0,Depositado
2024-08-01,07:20,mañana,12,20.7735,17.0,4.0,0,Depositado
2024-08-01,07:20,mañana,13,19.4238,17.0,4.0,0,Depositado
2024-08-01,07:20,mañana,14,18.6656,17.0,4.0,0,Depositado
2024-08-01,07:20,mañana,15,18.0487,17.0,4.0,0,Depositado
2024-08-01,07:20,mañana,16,19.3446,17.0,4.0,0,Depositado
2024-08-01,07:30,mañana,1,18.761,17.0,4.0,1,Depositado
2024-08-01,07:30,mañana,2,18.9757,17.0,4.0,1,Depositado
2024-08-01,07:30,mañana,3,18.8695,17.0,4.0,1,Depositado
2024-08-01,07:30,mañana,4,19.124,17.0,4.0,1,Depositado
2024-08-01,07:30,mañana,5,19.7756,17.0,4.0,1,Depositado
2024-08-01,07:30,mañana,6,19.2848,17.0,4.0,1,Depositado
2024-08-01,07:30,mañana,7,19.1143,17.0,4.0,1,Depositado
2024-08-01,07:30,mañana,8,18.6407,17.0,4.0,1,Depositado
2024-08-01,07:30,mañana,9,18.2957,17.0,4.0,1,Depositado
2024-08-01,07:30,mañana,10,18.9374,17.0,4.0,1,Depositado
2024-08-01,07:30,mañana,11,19.171,17.0,4.0,1,Depositado
2024-08-01,07:30,mañana,12,20.1547,17.0,4.0,1,Depositado
2024-08-01,07:30,mañana,13,19.2703,17.0,4.0,1,Depositado
2024-08-01,07:30,mañana,14,19.7307,17.0,4.0,1,Depositado
2024-08-01,07:30,mañana,15,18.9304,17.0,4.0,1,Depositado
2024-08-01,07:30,mañana,16,18.5601,17.0,4.0,1,Depositado
2024-08-01,14:00,tarde,1,21.5588,23.16,4.0,20,Depositado
2024-08-01,14:00,tarde,2,21.6884,23.16,4.0,20,Depositado
2024-08-01,14:00,tarde,3,23.2294,23.16,4.0,20,Depositado
2024-08-01,14:00,tarde,4,21.6365,23.16,4.0,20,Depositado
2024-08-01,14:00,tarde,5,22.5328,23.16,4.0,20,Depositado
2024-08-01,14:00,tarde,6,21.5924,23.16,4.0,20,Depositado
2024-08-01,14:00,tarde,7,22.583,23.16,4.0,20,Depositado
2024-08-01,14:00,tarde,8,22.2879,23.16,4.0,20,Depositado
2024-08-01,14:00,tarde,9,21.9954,23.16,4.0,20,Depositado
2024-08-01,14:00,tarde,10,22.058,23.16,4.0,20,Depositado
2024-08-01,14:00,tarde,11,21.7264,23.16,4.0,20,Depositado
2024-08-01,14:00,tarde,12,22.3209,23.16,4.0,20,Depositado
2024-08-01,14:00,tarde,13,21.8343,23.16,4.0,20,Depositado
2024-08-01,14:00,tarde,14,21.4182,23.16,4.0,20,Depositado
2024-08-01,14:00,tarde,15,21.3899,23.16,4.0,20,Depositado
2024-08-01,14:00,tarde,16,22.1732,23.16,4.0,20,Depositado
2024-08-01,14:10,tarde,1,22.9327,23.85,4.0,20,Depositado
2024-08-01,14:10,tarde,2,22.1664,23.85,4.0,20,Depositado
2024-08-01,14:10,tarde,3,22.0159,23.85,4.0,20,Depositado
2024-08-01,14:10,tarde,4,22.2343,23.85,4.0,20,Depositado
2024-08-01,14:10,tarde,5,22.7852,23.85,4.0,20,Depositado
2024-08-01,14:10,tarde,6,22.1985,23.85,4.0,20,Depositado
2024-08-01,14:10,tarde,7,21.8581,23.85,4.0,20,Depositado
2024-08-01,14:10,tarde,8,22.6774,23.85,4.0,20,Depositado
2024-08-01,14:10,tarde,9,22.3115,23.85,4.0,20,Depositado
2024-08-01,14:10,tarde,10,22.9093,23.85,4.0,20,Depositado
2024-08-01,14:10,tarde,11,22.1789,23.85,4.0,20,Depositado
2024-08-01,14:10,tarde,12,21.4188,23.85,4.0,20,Depositado
2024-08-01,14:10,tarde,13,21.3412,23.85,4.0,20,Depositado
2024-08-01,14:10,tarde,14,22.9715,23.85,4.0,20,Depositado
2024-08-01,14:10,tarde,15,23.0108,23.85,4.0,20,Depositado
2024-08-01,14:10,tarde,16,21.9831,23.85,4.0,20,Depositado
2024-08-01,14:20,tarde,1,21.8731,23.15,4.0,20,Depositado
2024-08-01,14:20,tarde,2,22.8692,23.15,4.0,20,Depositado
2024-08-01,14:20,tarde,3,21.4822,23.15,4.0,20,Depositado
2024-08-01,14:20,tarde,4,21.5968,23.15,4.0,20,Depositado
2024-08-01,14:20,tarde,5,22.4274,23.15,4.0,20,Depositado
2024-08-01,14:20,tarde,6,21.8669,23.15,4.0,20,Depositado
2024-08-01,14:20,tarde,7,22.0772,23.15,4.0,20,Depositado
2024-08-01,14:20,tarde,8,21.9917,23.15,4.0,20,Depositado
2024-08-01,14:20,tarde,9,22.2623,23.15,4.0,20,Depositado
2024-08-01,14:20,tarde,10,22.84,23.15,4.0,20,Depositado
2024-08-01,14:20,tarde,11,22.1289,23.15,4.0,20,Depositado
2024-08-01,14:20,tarde,12,22.4277,23.15,4.0,20,Depositado
2024-08-01,14:20,tarde,13,20.9729,23.15,4.0,20,Depositado
2024-08-01,14:20,tarde,14,22.0537,23.15,4.0,20,Depositado
2024-08-01,14:20,tarde,15,21.6247,23.15,4.0,20,Depositado
2024-08-01,14:20,tarde,16,21.4218,23.15,4.0,20,Depositado
2024-08-01,14:30,tarde,1,21.6058,23.24,4.0,20,Depositado
2024-08-01,14:30,tarde,2,21.8996,23.24,4.0,20,Depositado
2024-08-01,14:30,tarde,3,22.5746,23.24,4.0,20,Depositado
2024-08-01,14:30,tarde,4,21.3637,23.24,4.0,20,Depositado
2024-08-01,14:30,tarde,5,22.0965,23.24,4.0,20,Depositado
2024-08-01,14:30,tarde,6,21.8185,23.24,4.0,20,Depositado
2024-08-01,14:30,tarde,7,21.9031,23.24,4.0,20,Depositado
2024-08-01,14:30,tarde,8,22.6215,23.24,4.0,20,Depositado
2024-08-01,14:30,tarde,9,22.3706,23.24,4.0,20,Depositado
2024-08-01,14:30,tarde,10,22.8022,23.24,4.0,20,Depositado
2024-08-01,14:30,tarde,11,21.9966,23.24,4.0,20,Depositado
2024-08-01,14:30,tarde,12,21.7042,23.24,4.0,20,Depositado
2024-08-01,14:30,tarde,13,21.9591,23.24,4.0,20,Depositado
2024-08-01,14:30,tarde,14,22.2109,23.24,4.0,20,Depositado
2024-08-01,14:30,tarde,15,22.1753,23.24,4.0,20,Depositado
2024-08-01,14:30,tarde,16,21.4944,23.24,4.0,20,Depositado
2024-08-01,14:40,tarde,1,22.1289,23.17,4.0,20,Depositado
2024-08-01,14:40,tarde,2,22.2032,23.17,4.0,20,Depositado
2024-08-01,14:40,tarde,3,23.4394,23.17,4.0,20,Depositado
2024-08-01,14:40,tarde,4,23.0935,23.17,4.0,20,Depositado
2024-08-01,14:40,tarde,5,21.6192,23.17,4.0,20,Depositado
2024-08-01,14:40,tarde,6,21.9248,23.17,4.0,20,Depositado
2024-08-01,14:40,tarde,7,21.2897,23.17,4.0,20,Depositado
2024-08-01,14:40,tarde,8,21.761,23.17,4.0,20,Depositado
2024-08-01,14:40,tarde,9,22.2504,23.17,4.0,20,Depositado
2024-08-01,14:40,tarde,10,22.7312,23.17,4.0,20,Depositado
2024-08-01,14:40,tarde,11,21.6863,23.17,4.0,20,Depositado
2024-08-01,14:40,tarde,12,21.7268,23.17,4.0,20,Depositado
2024-08-01,14:40,tarde,13,20.9205,23.17,4.0,20,Depositado
2024-08-01,14:40,tarde,14,21.9922,23.17,4.0,20,Depositado
2024-08-01,14:40,tarde,15,21.5063,23.17,4.0,20,Depositado
2024-08-01,14:40,tarde,16,21.7941,23.17,4.0,20,Depositado
2024-08-01,14:50,tarde,1,21.6065,23.36,4.0,20,Depositado
2024-08-01,14:50,tarde,2,22.0291,23.36,4.0,20,Depositado
2024-08-01,14:50,tarde,3,21.1308,23.36,4.0,20,Depositado
2024-08-01,14:50,tarde,4,21.2878,23.36,4.0,20,Depositado
2024-08-01,14:50,tarde,5,23.2298,23.36,4.0,20,Depositado
2024-08-01,14:50,tarde,6,21.3848,23.36,4.0,20,Depositado
2024-08-01,14:50,tarde,7,21.4877,23.36,4.0,20,Depositado
2024-08-01,14:50,tarde,8,23.0719,23.36,4.0,20,Depositado
2024-08-01,14:50,tarde,9,23.6487,23.36,4.0,20,Depositado
2024-08-01,14:50,tarde,10,21.4474,23.36,4.0,20,Depositado
2024-08-01,14:50,tarde,11,21.8811,23.36,4.0,20,Depositado
2024-08-01,14:50,tarde,12,22.2644,23.36,4.0,20,Depositado
2024-08-01,14:50,tarde,13,23.0135,23.36,4.0,20,Depositado
2024-08-01,14:50,tarde,14,21.5471,23.36,4.0,20,Depositado
2024-08-01,14:50,tarde,15,21.9475,23.36,4.0,20,Depositado
2024-08-01,14:50,tarde,16,22.4998,23.36,4.0,20,Depositado
2024-08-01,15:00,tarde,1,22.3148,23.29,4.0,20,Depositado
2024-08-01,15:00,tarde,2,21.8769,23.29,4.0,20,Depositado
2024-08-01,15:00,tarde,3,22.0077,23.29,4.0,20,Depositado
2024-08-01,15:00,tarde,4,21.3376,23.29,4.0,20,Depositado
2024-08-01,15:00,tarde,5,21.9514,23.29,4.0,20,Depositado
2024-08-01,15:00,tarde,6,21.9362,23.29,4.0,20,Depositado
2024-08-01,15:00,tarde,7,22.2054,23.29,4.0,20,Depositado
2024-08-01,15:00,tarde,8,21.7801,23.29,4.0,20,Depositado
2024-08-01,15:00,tarde,9,22.3346,23.29,4.0,20,Depositado
2024-08-01,15:00,tarde,10,22.6269,23.29,4.0,20,Depositado
2024-08-01,15:00,tarde,11,22.1639,23.29,4.0,20,Depositado
2024-08-01,15:00,tarde,12,22.2699,23.29,4.0,20,Depositado
2024-08-01,15:00,tarde,13,22.1087,23.29,4.0,20,Depositado
2024-08-01,15:00,tarde,14,22.08,23.29,4.0,20,Depositado
2024-08-01,15:00,tarde,15,21.6904,23.29,4.0,20,Depositado
2024-08-01,15:00,tarde,16,22.2509,23.29,4.0,20,Depositado
2024-08-01,15:10,tarde,1,22.0275,23.51,4.0,20,Depositado
2024-08-01,15:10,tarde,2,23.2103,23.51,4.0,20,Depositado
2024-08-01,15:10,tarde,3,22.9296,23.51,4.0,20,Depositado
2024-08-01,15:10,tarde,4,22.2884,23.51,4.0,20,Depositado
2024-08-01,15:10,tarde,5,21.6679,23.51,4.0,20,Depositado
2024-08-01,15:10,tarde,6,21.4793,23.51,4.0,20,Depositado
2024-08-01,15:10,tarde,7,22.7232,23.51,4.0,20,Depositado
2024-08-01,15:10,tarde,8,22.2219,23.51,4.0,20,Depositado
2024-08-01,15:10,tarde,9,22.3393,23.51,4.0,20,Depositado
2024-08-01,15:10,tarde,10,21.1379,23.51,4.0,20,Depositado
2024-08-01,15:10,tarde,11,22.5808,23.51,4.0,20,Depositado
2024-08-01,15:10,tarde,12,22.3254,23.51,4.0,20,Depositado
2024-08-01,15:10,tarde,13,21.4804,23.51,4.0,20,Depositado
2024-08-01,15:10,tarde,14,21.8254,23.51,4.0,20,Depositado
2024-08-01,15:10,tarde,15,22.2224,23.51,4.0,20,Depositado
2024-08-01,15:10,tarde,16,22.1083,23.51,4.0,20,Depositado
2024-08-01,15:20,tarde,1,21.9222,23.16,4.0,20,Depositado
2024-08-01,15:20,tarde,2,22.0241,23.16,4.0,20,Depositado
2024-08-01,15:20,tarde,3,21.9439,23.16,4.0,20,Depositado
2024-08-01,15:20,tarde,4,22.1624,23.16,4.0,20,Depositado
2024-08-01,15:20,tarde,5,22.8746,23.16,4.0,20,Depositado
2024-08-01,15:20,tarde,6,20.694,23.16,4.0,20,Depositado
2024-08-01,15:20,tarde,7,21.9521,23.16,4.0,20,Depositado
2024-08-01,15:20,tarde,8,22.1753,23.16,4.0,20,Depositado
2024-08-01,15:20,tarde,9,22.2398,23.16,4.0,20,Depositado
2024-08-01,15:20,tarde,10,21.8792,23.16,4.0,20,Depositado
2024-08-01,15:20,tarde,11,21.1314,23.16,4.0,20,Depositado
2024-08-01,15:20,tarde,12,22.2571,23.16,4.0,20,Depositado
2024-08-01,15:20,tarde,13,23.0128,23.16,4.0,20,Depositado
2024-08-01,15:20,tarde,14,21.2517,23.16,4.0,20,Depositado
2024-08-01,15:20,tarde,15,22.5465,23.16,4.0,20,Depositado
2024-08-01,15:20,tarde,16,21.9026,23.16,4.0,20,Depositado
2024-08-01,15:30,tarde,1,22.0469,23.76,4.0,20,Depositado
2024-08-01,15:30,tarde,2,21.5114,23.76,4.0,20,Depositado
2024-08-01,15:30,tarde,3,21.8994,23.76,4.0,20,Depositado
2024-08-01,15:30,tarde,4,22.782,23.76,4.0,20,Depositado
2024-08-01,15:30,tarde,5,22.3946,23.76,4.0,20,Depositado
2024-08-01,15:30,tarde,6,23.0154,23.76,4.0,20,Depositado
2024-08-01,15:30,tarde,7,22.7158,23.76,4.0,20,Depositado
2024-08-01,15:30,tarde,8,22.3171,23.76,4.0,20,Depositado
2024-08-01,15:30,tarde,9,23.0217,23.76,4.0,20,Depositado
2024-08-01,15:30,tarde,10,22.3171,23.76,4.0,20,Depositado
2024-08-01,15:30,tarde,11,22.5271,23.76,4.0,20,Depositado
2024-08-01,15:30,tarde,12,21.9199,23.76,4.0,20,Depositado
2024-08-01,15:30,tarde,13,22.1159,23.76,4.0,20,Depositado
2024-08-01,15:30,tarde,14,21.7034,23.76,4.0,20,Depositado
2024-08-01,15:30,tarde,15,22.6144,23.76,4.0,20,Depositado
2024-08-01,15:30,tarde,16,21.4437,23.76,4.0,20,Depositado
2024-08-01,22:00,noche,1,19.6225,17.07,4.0,0,Depositado
2024-08-01,22:00,noche,2,19.097,17.07,4.0,0,Depositado
2024-08-01,22:00,noche,3,19.8325,17.07,4.0,0,Depositado
2024-08-01,22:00,noche,4,19.6055,17.07,4.0,0,Depositado
2024-08-01,22:00,noche,5,20.1831,17.07,4.0,0,Depositado
2024-08-01,22:00,noche,6,19.5946,17.07,4.0,0,Depositado
2024-08-01,22:00,noche,7,18.3511,17.07,4.0,0,Depositado
2024-08-01,22:00,noche,8,19.1638,17.07,4.0,0,Depositado
2024-08-01,22:00,noche,9,18.5671,17.07,4.0,0,Depositado
2024-08-01,22:00,noche,10,18.9201,17.07,4.0,0,Depositado
2024-08-01,22:00,noche,11,20.0161,17.07,4.0,0,Depositado
2024-08-01,22:00,noche,12,19.5443,17.07,4.0,0,Depositado
2024-08-01,22:00,noche,13,18.8226,17.07,4.0,0,Depositado
2024-08-01,22:00,noche,14,18.6526,17.07,4.0,0,Depositado
2024-08-01,22:00,noche,15,19.2177,17.07,4.0,0,Depositado
2024-08-01,22:00,noche,16,18.5431,17.07,4.0,0,Depositado
2024-08-01,22:10,noche,1,18.8376,17.04,4.0,0,Depositado
2024-08-01,22:10,noche,2,19.3685,17.04,4.0,0,Depositado
2024-08-01,22:10,noche,3,19.8239,17.04,4.0,0,Depositado
2024-08-01,22:10,noche,4,19.5287,17.04,4.0,0,Depositado
2024-08-01,22:10,noche,5,17.9627,17.04,4.0,0,Depositado
2024-08-01,22:10,noche,6,19.3644,17.04,4.0,0,Depositado
2024-08-01,22:10,noche,7,19.2389,17.04,4.0,0,Depositado
2024-08-01,22:10,noche,8,19.4235,17.04,4.0,0,Depositado
2024-08-01,22:10,noche,9,20.0728,17.04,4.0,0,Depositado
2024-08-01,22:10,noche,10,18.0859,17.04,4.0,0,Depositado
2024-08-01,22:10,noche,11,18.8808,17.04,4.0,0,Depositado
2024-08-01,22:10,noche,12,19.5191,17.04,4.0,0,Depositado
2024-08-01,22:10,noche,13,18.3459,17.04,4.0,0,Depositado
2024-08-01,22:10,noche,14,19.997,17.04,4.0,0,Depositado
2024-08-01,22:10,noche,15,19.3989,17.04,4.0,0,Depositado
2024-08-01,22:10,noche,16,19.6572,17.04,4.0,0,Depositado
2024-08-01,22:20,noche,1,18.8917,17.07,4.0,0,Depositado
2024-08-01,22:20,noche,2,19.6394,17.07,4.0,0,Depositado
2024-08-01,22:20,noche,3,19.777,17.07,4.0,0,Depositado
2024-08-01,22:20,noche,4,19.3258,17.07,4.0,0,Depositado
2024-08-01,22:20,noche,5,19.3266,17.07,4.0,0,Depositado
2024-08-01,22:20,noche,6,19.346,17.07,4.0,0,Depositado
2024-08-01,22:20,noche,7,18.7338,17.07,4.0,0,Depositado
2024-08-01,22:20,noche,8,19.1203,17.07,4.0,0,Depositado
2024-08-01,22:20,noche,9,19.1176,17.07,4.0,0,Depositado
2024-08-01,22:20,noche,10,19.407,17.07,4.0,0,Depositado
2024-08-01,22:20,noche,11,19.7399,17.07,4.0,0,Depositado
2024-08-01,22:20,noche,12,18.6284,17.07,4.0,0,Depositado
2024-08-01,22:20,noche,13,19.1325,17.07,4.0,0,Depositado
2024-08-01,22:20,noche,14,20.0,17.07,4.0,0,Depositado
2024-08-01,22:20,noche,15,18.7985,17.07,4.0,0,Depositado
2024-08-01,22:20,noche,16,18.756,17.07,4.0,0,Depositado
2024-08-01,22:30,noche,1,19.3092,17.3,4.0,1,Depositado
2024-08-01,22:30,noche,2,19.656,17.3,4.0,1,Depositado
2024-08-01,22:30,noche,3,19.2062,17.3,4.0,1,Depositado
2024-08-01,22:30,noche,4,19.9176,17.3,4.0,1,Depositado
2024-08-01,22:30,noche,5,19.6627,17.3,4.0,1,Depositado
2024-08-01,22:30,noche,6,19.6546,17.3,4.0,1,Depositado
2024-08-01,22:30,noche,7,19.4992,17.3,4.0,1,Depositado
2024-08-01,22:30,noche,8,20.4569,17.3,4.0,1,Depositado
2024-08-01,22:30,noche,9,19.0892,17.3,4.0,1,Depositado
